CODIGO;TIPO_UNIDAD;TECNOLOGIA;regime;categoria;DESCRIPCION;AGENTE_PROPIETARIO;ZONA_FRONTERA
AFIBGEC;ALMACENAMIENTO;Almacenamiento Compra;CONSUMO;ARMAZENAMENTO_COMPRA_ES;ALMACENAMIENTO COMPRA;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
AFIBHEC;ALMACENAMIENTO;Almacenamiento Compra;CONSUMO;ARMAZENAMENTO_COMPRA_ES;COMPRA HIBRIDACION EOLICA BAT;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
AFIBHFC;ALMACENAMIENTO;Almacenamiento Compra;CONSUMO;ARMAZENAMENTO_COMPRA_ES;COMPRA HIBRIDACION FV BATERIA;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
AFIOLHC;ALMACENAMIENTO;Almacenamiento Compra;CONSUMO;ARMAZENAMENTO_COMPRA_ES;UOF C BATERIA OLMEDILLA;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
AFIREHC;ALMACENAMIENTO;Almacenamiento Compra;CONSUMO;ARMAZENAMENTO_COMPRA_ES;UOF C BATERIA REVILLA;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
AFIROHC;ALMACENAMIENTO;Almacenamiento Compra;CONSUMO;ARMAZENAMENTO_COMPRA_ES;HIB ROMERAL OLMEDILLA;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
ASRIHCC;ALMACENAMIENTO;Almacenamiento Compra;CONSUMO;ARMAZENAMENTO_COMPRA_ES;UNIDAD OFERTA BATERIA SOTO;EDP ESPAÑA, S.A.U. (GENERACIÓN);ZONA ESPAÑOLA
EGEDBAT;ALMACENAMIENTO;Almacenamiento Compra;CONSUMO;ARMAZENAMENTO_COMPRA_ES;COMPRA BATERIA;ACCIONA GREEN ENERGY DEVELOPMENTS;ZONA ESPAÑOLA
SMBC02;ALMACENAMIENTO;Almacenamiento Compra;CONSUMO;ARMAZENAMENTO_COMPRA_PT;COMPRA BATERIA BATALHA;SIMPLES ENERGIA DE ESPAÑA SL;ZONA PORTUGUESA
UPACAC;ALMACENAMIENTO;Almacenamiento Compra;CONSUMO;ARMAZENAMENTO_COMPRA_ES;UOF ACADIEMS COMPRA;IGNIS ENERGIA S.L.;ZONA ESPAÑOLA
UPXENC;ALMACENAMIENTO;Almacenamiento Compra;CONSUMO;ARMAZENAMENTO_COMPRA_ES;UPXENC;GNERA ENERGIA Y TECNOLOGIA;ZONA ESPAÑOLA
ACAVADB;BOMBEO;Consumo Bombeo Mixto;CONSUMO;BOMBEO_CONSUMO_PT;BOMBAS DO CAVADO;EDP GEM PORTUGAL S.A.;ZONA PORTUGUESA
ADOUROB;BOMBEO;Consumo Bombeo Mixto;CONSUMO;BOMBEO_CONSUMO_PT;BOMBA DO DOURO;EDP GEM PORTUGAL S.A.;ZONA PORTUGUESA
AGUB;BOMBEO;Consumo de bombeo;CONSUMO;BOMBEO_CONSUMO_ES;C.H.B. AGUAYO BOMBEO;REPSOL SERVICIOS RENOVABLES, S.A.;ZONA ESPAÑOLA
ALIMAB;BOMBEO;Consumo Bombeo Mixto;CONSUMO;BOMBEO_CONSUMO_PT;BOMBAS DO LIMA;EDP GEM PORTUGAL S.A.;ZONA PORTUGUESA
BRENAB;BOMBEO;Consumo Bombeo Puro;CONSUMO;BOMBEO_CONSUMO_ES;UNIDAD OFERTA BOMBEO BREÑA 2;IGNIS ENERGIA S.L.;ZONA ESPAÑOLA
DOUSUPB;BOMBEO;Consumo Bombeo Mixto;CONSUMO;BOMBEO_CONSUMO_PT;DOURO SUPERIOR BOMBAGEM;MOVHERA - HIDROELÉTRICAS DO NORTE SA;ZONA PORTUGUESA
DUEB;BOMBEO;Consumo Bombeo Mixto;CONSUMO;BOMBEO_CONSUMO_ES;UGH.B. DUERO BOMBEO;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
ENDPRB;BOMBEO;Consumo de bombeo;CONSUMO;BOMBEO_CONSUMO_ES;C.H.B.M. MONTAMARA BOMBEO;ENDESA GENERACIÓN, S.A.;ZONA ESPAÑOLA
GDLQB;BOMBEO;Consumo de bombeo;CONSUMO;BOMBEO_CONSUMO_ES;GUADALQUIVIR BOMBEO;ENDESA GENERACIÓN, S.A.;ZONA ESPAÑOLA
GUADIAB;BOMBEO;Consumo Bombeo Mixto;CONSUMO;BOMBEO_CONSUMO_PT;BACIA H. GUADIANA (BOMBAGEM);EDP GEM PORTUGAL S.A.;ZONA PORTUGUESA
GUIB;BOMBEO;Consumo de bombeo;CONSUMO;BOMBEO_CONSUMO_ES;C.H.B. GUILLENA BOMBEO;ENDESA GENERACIÓN, S.A.;ZONA ESPAÑOLA
IPB;BOMBEO;Consumo Bombeo Puro;CONSUMO;BOMBEO_CONSUMO_ES;C.H.B.IP BOMBEO;ENDESA GENERACIÓN, S.A.;ZONA ESPAÑOLA
MLTB;BOMBEO;Consumo de bombeo;CONSUMO;BOMBEO_CONSUMO_ES;C.H.B. MORALETS BOMBEO;ENDESA GENERACIÓN, S.A.;ZONA ESPAÑOLA
MONDEGB;BOMBEO;Consumo Bombeo Mixto;CONSUMO;BOMBEO_CONSUMO_PT;BOMBEO DA AREA DE MONDEGO;EDP GEM PORTUGAL S.A.;ZONA PORTUGUESA
MUEB;BOMBEO;Consumo de bombeo;CONSUMO;BOMBEO_CONSUMO_ES;C.H.B. LA MUELA BOMBEO;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
SILB;BOMBEO;Consumo Bombeo Mixto;CONSUMO;BOMBEO_CONSUMO_ES;UGH.B. SIL BOMBEO;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
SLTB;BOMBEO;Consumo de bombeo;CONSUMO;BOMBEO_CONSUMO_ES;UGH.B. ESTANG. SALLENTE BOMB.;ENDESA GENERACIÓN, S.A.;ZONA ESPAÑOLA
TAJB;BOMBEO;Consumo Bombeo Mixto;CONSUMO;BOMBEO_CONSUMO_ES;UGH.B. TAJO BOMBEO;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
TAMEGAB;BOMBEO;Consumo Bombeo Mixto;CONSUMO;BOMBEO_CONSUMO_PT;TAMEGAB;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA PORTUGUESA
TANB;BOMBEO;Consumo de bombeo;CONSUMO;BOMBEO_CONSUMO_ES;C.H.B. TANES BOMBEO;EDP ESPAÑA, S.A.U. (GENERACIÓN);ZONA ESPAÑOLA
TJEB;BOMBEO;Consumo de bombeo;CONSUMO;BOMBEO_CONSUMO_ES;C.H. B. TAJO ENCANTADA BOMBEO;ENDESA GENERACIÓN, S.A.;ZONA ESPAÑOLA
UFBB;BOMBEO;Consumo Bombeo Puro;CONSUMO;BOMBEO_CONSUMO_ES;C.H.B. BOLARQUE BOMBEO;GAS NATURAL COMERCIALIZADORA;ZONA ESPAÑOLA
ABASC01;COMERCIALIZADOR;Comercializador;COMERCIALIZADOR;COMERC_ES;UOF COMPRA ABASTE;ABASTE COMERCIALIZADORA S.L.;ZONA ESPAÑOLA
ABOUC01;COMERCIALIZADOR;Comercializador;COMERCIALIZADOR;COMERC_ES;ABOUT WHITE;ABOUT WHITE, S.L.;ZONA ESPAÑOLA
ACCGC02;COMERCIALIZADOR;Comercializador;COMERCIALIZADOR;COMERC_PT;UNIDAD DE COMPRA;ACCIONA GREEN, SUCURSAL PT;ZONA PORTUGUESA
ACHEC01;COMERCIALIZADOR;Comercializador;COMERCIALIZADOR;COMERC_ES;ACHER COMPRA;ELECTRICA DE CHERA, S.C.V.;ZONA ESPAÑOLA
ACNHC01;COMERCIALIZADOR;Comercializador;COMERCIALIZADOR;COMERC_ES;COMPRA;ACENHOL ENERGIA SL;ZONA ESPAÑOLA
ACRSC02;COMERCIALIZADOR;Comercializador;COMERCIALIZADOR;COMERC_PT;COMERCIALIZAÇÃO;ACROSSCAPACITY, LDA;ZONA PORTUGUESA
ACSOC01;COMERCIALIZADOR;Comercializador;COMERCIALIZADOR;COMERC_ES;ACSOL;ACSOL ENERGIA GLOBAL, S.A.;ZONA ESPAÑOLA
ACTIC01;COMERCIALIZADOR;Comercializador;COMERCIALIZADOR;COMERC_ES;UNIDAD PARA OFERTAS DE COMPRA;ACTIVA COMERCIALIZADORA DE ENERGIA S.L.;ZONA ESPAÑOLA
ADEIC01;COMERCIALIZADOR;Comercializador;COMERCIALIZADOR;COMERC_ES;ADEINNOVA ENERGIA;ADEINNOVA ENERGIA;ZONA ESPAÑOLA
ADELC01;COMERCIALIZADOR;Compras Comercialización;COMERCIALIZADOR;COMERC_ES;ADELFAS COMPRAS;ADELFAS ENERGIA SL;ZONA ESPAÑOLA
ADREC02;COMERCIALIZADOR;Comercializador;COMERCIALIZADOR;COMERC_PT;AUDAX COMPRA PORTUGAL;AUDAX RENOVABLES S.A.;ZONA PORTUGUESA
ADURC01;COMERCIALIZADOR;Comercializador;COMERCIALIZADOR;COMERC_ES;ADURIZ ENERGÍA COMPRA (ESP);ADURIZ ENERGÍA SLU;ZONA ESPAÑOLA
ADXC01;COMERCIALIZADOR;Comercializador;COMERCIALIZADOR;COMERC_ES;ADX RENOVABLES;ADX RENOVABLES SL;ZONA ESPAÑOLA
ADXRM01;COMERCIALIZADOR;Compras Comercialización;COMERCIALIZADOR;COMERC_ES;REPRE COMER 1;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXRM02;COMERCIALIZADOR;Compras Comercialización;COMERCIALIZADOR;COMERC_ES;REPRE COMER 2;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXRM03;COMERCIALIZADOR;Compras Comercialización;COMERCIALIZADOR;COMERC_ES;REPRE COMER 3;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXRM04;COMERCIALIZADOR;Compras Comercialización;COMERCIALIZADOR;COMERC_ES;ADS RPRE COMER 4;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
